,FB ID,Gene Symbol
471,FBgn0003065,CG2150
472,FBgn0003067,Pepck1
473,FBgn0003068,per
474,FBgn0003071,Pfk
475,FBgn0003074,Pgi
476,FBgn0003076,Pgm1
477,FBgn0003079,Raf
478,FBgn0003082,phr
479,FBgn0003087,pim
480,FBgn0003089,pip
481,FBgn0003090,pk
482,FBgn0003091,Pkc53E
483,FBgn0003093,Pkc98E
484,FBgn0003114,plu
485,FBgn0003116,pn
486,FBgn0003117,pnr
487,FBgn0003118,pnt
488,FBgn0003124,polo
489,FBgn0003129,Poxm
490,FBgn0003130,Poxn
491,FBgn0003132,Pp1-13C
492,FBgn0003134,Pp1alpha-96A
493,FBgn0003137,Ppn
494,FBgn0003139,PpV
495,FBgn0003140,PpY-55A
496,FBgn0003141,pr
497,FBgn0003145,prd
498,FBgn0003149,Prm
499,FBgn0003159,CG2841
500,FBgn0003162,Pu
501,FBgn0003165,pum
502,FBgn0003169,put
503,FBgn0003174,pwn
504,FBgn0003175,px
505,FBgn0003187,qua
506,FBgn0003189,r
507,FBgn0003204,ras
508,FBgn0003205,Ras85D
509,FBgn0003206,Ras64B
510,FBgn0003209,raw
511,FBgn0003210,rb
512,FBgn0003218,rdgB
513,FBgn0003227,rec
514,FBgn0003231,ref(2)P
515,FBgn0003248,Rh2
516,FBgn0003249,Rh3
517,FBgn0003250,Rh4
518,FBgn0003254,rib
519,FBgn0003255,rk
520,FBgn0003256,rl
521,FBgn0003257,r-l
522,FBgn0003261,Rm62
523,FBgn0003267,ro
524,FBgn0003268,rod
525,FBgn0003270,amos
526,FBgn0003274,RpLP2
527,FBgn0003275,Polr2F
528,FBgn0003277,Polr2A
529,FBgn0003278,Polr1B
530,FBgn0003279,RpL4
531,FBgn0003285,rst
532,FBgn0003292,rt
533,FBgn0003295,ru
534,FBgn0003300,run
535,FBgn0003301,rut
536,FBgn0003302,rux
537,FBgn0003308,ry
538,FBgn0003310,S
539,FBgn0003312,sad
540,FBgn0003313,sala
541,FBgn0003317,sax
542,FBgn0003319,Sb
543,FBgn0003321,sbr
544,FBgn0003326,sca
545,FBgn0003330,Sce
546,FBgn0003334,Scm
547,FBgn0003339,Scr
548,FBgn0003345,sd
549,FBgn0003346,RanGAP
550,FBgn0003353,sei
551,FBgn0003356,Jon99Cii
552,FBgn0003357,Jon99Ciii
553,FBgn0003358,Jon99Ci
554,FBgn0003360,sesB
555,FBgn0003366,sev
556,FBgn0003371,sgg
557,FBgn0003372,Sgs1
558,FBgn0003373,Sgs3
559,FBgn0003374,Sgs4
560,FBgn0003375,Sgs5
561,FBgn0003377,Sgs7
562,FBgn0003380,Sh
563,FBgn0003382,sha
564,FBgn0003386,Shaw
565,FBgn0003388,shd
566,FBgn0003390,shf
567,FBgn0003391,shg
568,FBgn0003392,shi
569,FBgn0003396,shn
570,FBgn0003401,shu
571,FBgn0003410,sina
572,FBgn0003411,sisA
573,FBgn0003415,skd
574,FBgn0003416,sl
575,FBgn0003423,slgA
576,FBgn0003429,slo
577,FBgn0003430,slp1
578,FBgn0003435,sm
579,FBgn0003444,smo
580,FBgn0003447,sn
581,FBgn0003448,sna
582,FBgn0003449,snf
583,FBgn0003450,snk
584,FBgn0003459,stwl
585,FBgn0003460,so
586,FBgn0003462,Sod1
587,FBgn0003463,sog
588,FBgn0003464,sol
589,FBgn0003475,spir
590,FBgn0003479,spn-A
591,FBgn0003480,spn-B
592,FBgn0003482,spn-D
593,FBgn0003483,spn-E
594,FBgn0003486,spo
595,FBgn0003495,spz
596,FBgn0003499,sr
597,FBgn0003502,Btk
598,FBgn0003507,srp
599,FBgn0003510,Sry-alpha
600,FBgn0003511,Sry-beta
601,FBgn0003512,Sry-delta
602,FBgn0003513,ss
603,FBgn0003514,sqh
604,FBgn0003515,st
605,FBgn0003517,sta
606,FBgn0003520,stau
607,FBgn0003525,stg
608,FBgn0003527,stil
609,FBgn0003545,sub
610,FBgn0003557,Su(dx)
611,FBgn0003559,su(f)
612,FBgn0003567,su(Hw)
613,FBgn0003575,su(sable)
614,FBgn0003598,Su(var)3-7
615,FBgn0003607,Su(var)205
616,FBgn0003612,Su(var)2-10
617,FBgn0003638,su(w[a])
618,FBgn0003651,svp
619,FBgn0003654,sw
620,FBgn0003655,swa
621,FBgn0003656,sws
622,FBgn0003660,Syb
623,FBgn0003676,CCT1
624,FBgn0003683,term
625,FBgn0003687,Tbp
626,FBgn0003701,thr
627,FBgn0003710,tipE
628,FBgn0003714,tko
629,FBgn0003716,tkv
630,FBgn0003719,tld
631,FBgn0003721,Tm1
632,FBgn0003731,Egfr
633,FBgn0003733,tor
634,FBgn0003741,tra
635,FBgn0003742,tra2
636,FBgn0003744,trc
637,FBgn0003747,Gr5a
638,FBgn0003748,Treh
639,FBgn0003751,trk
640,FBgn0003861,trp
641,FBgn0003862,trx
642,FBgn0003863,alphaTry
643,FBgn0003866,tsh
644,FBgn0003867,tsl
645,FBgn0003870,ttk
646,FBgn0003882,tub
647,FBgn0003884,alphaTub84B
648,FBgn0003885,alphaTub84D
649,FBgn0003886,alphaTub85E
650,FBgn0003889,betaTub85D
651,FBgn0003890,betaTub97EF
652,FBgn0003891,tud
653,FBgn0003892,ptc
654,FBgn0003896,tup
655,FBgn0003900,twi
656,FBgn0003916,snRNA:U1:21D
657,FBgn0003922,snRNA:U2:38ABa
658,FBgn0003941,RpL40
659,FBgn0003942,RpS27A
660,FBgn0003943,Ubi-p63E
661,FBgn0003944,Ubx
662,FBgn0003950,unc
663,FBgn0003961,Uro
664,FBgn0003963,ush
665,FBgn0003964,usp
666,FBgn0003965,v
667,FBgn0003969,vap
668,FBgn0003975,vg
669,FBgn0003977,vir
670,FBgn0003978,vls
671,FBgn0003979,Vm26Aa
672,FBgn0003980,Vm26Ab
673,FBgn0003983,Vm34Ca
674,FBgn0003984,vn
675,FBgn0003996,w
676,FBgn0003997,hid
677,FBgn0004003,wbl
678,FBgn0004034,y
679,FBgn0004045,Yp1
680,FBgn0004047,Yp3
681,FBgn0004049,yrt
682,FBgn0004050,z
683,FBgn0004052,Z600
684,FBgn0004054,zen2
685,FBgn0004055,uzip
686,FBgn0004057,Zw
687,FBgn0004066,Prosalpha4
688,FBgn0004087,Dhfr
